Recipient,Agency,Funding_Agency,State,City,Action_Date,Start_Date,Award_Value,Industry,Award_Description
"MARINE AIR SUPPLY CO., INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,FREDERICK,8/13/2021,8/13/2021 0:00,6365,OTHER ELECTRONIC COMPONENT MANUFACTURING,"8508448756!SWITCH,PUSH"
ADVANCED ALLIANT SOLUTIONS TEAM,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,PATUXENT RIVER,6/16/2021,8/31/2016 0:00,45140206.41,COMPUTER SYSTEMS DESIGN SERVICES,CONTRACTOR SUPPORT SERVICE
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,2/12/2021,2/12/2021 0:00,425.79,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4552514206!TRBO REGION 3
"P.J.K. FOOD SERVICE, LLC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,HYATTSVILLE,5/4/2021,5/4/2021 0:00,372.47,PERISHABLE PREPARED FOOD MANUFACTURING,"4553410008!GRAPEFRUIT, FRESH,"
"NEW TECH SOLUTIONS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,FORT GEORGE G MEADE,1/25/2021,3/28/2019 0:00,4331.49,OTHER COMPUTER RELATED SERVICES,COMPUNETIX EQUIPMENT
"BEAM DISTRIBUTING, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,RICHMOND,12/12/2020,12/12/2020 0:00,345,ELECTRIC LAMP BULB AND PART MANUFACTURING,"HEADLAMP: USES THREE (3) AAA ALKALINE BATTERIES INCLUDED, ADJUSTABLE CLOTH STRAP FOR HEAD, HEAVY DUTY RUBBER STRAP FOR HELMET, VERTICAL ADJUSTMENT CAPABILITY, 73 METERS BEAM DISTANCE MINIMUM, 1500 CANDELA MINIMUM BEAM INTENSITY, RUN TIME ON BATT"
"GAP SOLUTIONS, INC.",DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MD,BETHESDA,6/30/2021,8/11/2020 0:00,82118.4,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,"INCREASE FUNDS AND EXTEND POP FOR THE OFFICE OF TECHNOLOGY TRANSFER AND DEVELOPMENT DATA ENTRY SPECIALIST. THE TOTAL FUNDING FOR THIS ORDER IS INCREASED BY $8,843.52."
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,3/11/2021,3/11/2021 0:00,28.89,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"BROOM,PUSH, MEDIUM SURFACE, HANDLE BLACK METAL, DETACHABLE, 60"" L, BLOCK24"" X 7/8"" THICK HARDWOOD. POLYPROPYLENE FIBERS WITH 3.5"" LENGTH. FLEXIBLE ELASTOMER CONNECTOR.U/I EA"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,9/9/2021,9/9/2021 0:00,4206.75,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS","4554717797!BAG,MEDICAL INSTRUMEN"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,2/5/2021,2/5/2021 0:00,597.4,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4552432761!TRBO REGION 3
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,9/17/2021,9/17/2021 0:00,264.75,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554818292!BRACE ORTH LG 18.5-21IN 14-15IN KN LT 2
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,5/20/2021,5/20/2021 0:00,284.85,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4553615749!TRBO REGION 3
"AMAR HEALTH IT, LLC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,FORT GEORGE G MEADE,9/17/2021,11/16/2020 0:00,12953750.94,COMPUTER SYSTEMS DESIGN SERVICES,"GLOBAL VIDEO SERVICES. THE FUNCTIONAL CAPABILITIES PROVIDED BY THIS EFFORT SHALL BE APPLIED TO THE ENGINEERING, TRANSITION AND IMPLEMENTATION MANAGEMENT OF DISA-PROVIDED CAPABILITIES FOR VIDEO SERVICES  INSTALLED AND USED WORLDWIDE."
"LEIDOS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,1/19/2021,9/14/2017 0:00,23541635,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",THREAT WARNING AND INTEGRATED SURVIVABILITY TECHNOLOGY
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,2/18/2021,2/18/2021 0:00,101.6,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"SPOON, TEA, PICNIC (PLASTIC): IAW CID A-A-3109. TYPE III - HEAVY DUTY, ITEM 7 - WHITE."
ALPHA SAFE & VAULT INC,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,VIENNA,6/11/2021,6/11/2021 0:00,5640,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,"FILING CABINET, BLACK, CLASS-6, 4-DRAWER, LEGAL SIZE, MULTIPLE LOCK, STYLE-1, KEY CHANGE COMBINATION LOCK, 1-LOCK PER DRAWER"
ADVANCED ALLIANT SOLUTIONS TEAM,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,PATUXENT RIVER,7/23/2021,8/31/2016 0:00,45140206.41,COMPUTER SYSTEMS DESIGN SERVICES,"IF, DEOBLIGATION, AND INCREASE CEILING"
"OFFICE GROUP, INC., THE",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,POQUOSON,7/29/2021,7/29/2021 0:00,121.8,ALL OTHER MISCELLANEOUS MANUFACTURING,8508404467!EMALL NON-NSN MATERIALS
GOVERNMENT RETIREMENT AND BENEFITS INCORPORATED,DEPARTMENT OF JUSTICE (DOJ),DEPARTMENT OF JUSTICE (DOJ),VA,ALEXANDRIA,3/30/2021,3/31/2021 0:00,71933,OTHER COMPUTER RELATED SERVICES,RETIREMENT CALCULATOR SERVICES
"MPR ASSOCIATES, INC.",DEPARTMENT OF DEFENSE (DOD),CORPS OF ENGINEERS - CIVIL WORKS (USACE),VA,ALEXANDRIA,2/25/2021,5/7/2021 0:00,30856.02,ENGINEERING SERVICES,EARNED VALUE MANAGEMENT SYSTEM VERIFICATION REVIEW FOR THE NATIONAL SCIENCE FOUNDATION REGIONAL CLASS RESEARCH VESSEL.
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,9/2/2021,9/2/2021 0:00,222.87,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"APRON, FOOD HANDLER' S: WASHABLE AND REUSABLE BIB-STYLE FOOD SERVICE APRONS MADE FROM 100% COTTON DRILL CLOTH, 42 IN LONG. BLEACHED WHITE. PLASTIC PACKAGING/PACKING MATERIALS PROHIBITED. U/I PG (10 EA PER PG)"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,3/26/2021,3/26/2021 0:00,293.26,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4552959955!TRBO REGION 3
COMPUTER SCIENCES CORPORATION,DEPARTMENT OF TRANSPORTATION (DOT),DEPARTMENT OF TRANSPORTATION (DOT),MD,HANOVER,7/8/2021,3/4/2019 0:00,81810.73,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",FCS TAG 53 - BDNA
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,5/21/2021,5/21/2021 0:00,7815.8,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4553626965!TRBO REGION 3
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,5/19/2021,5/19/2021 0:00,323.68,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"GLOVES,DISPOSABLE,NITRILE:AMBIDEXTROUS,POWDER-FREE,LATEX-FREE,INDUSTRIAL GRADE,NITRILE GLOVES FOR GENERAL PURPOSE USE. NITRILE SHALL BE SOFT FORMULATION ALLOWS GLOVES TO CONFORM TO HAND. 4 MILS THICK MIN. SIZE LARGE, 9 1/2"" . U/I BX (100 EA"
