Recipient,Agency,Funding_Agency,State,City,Action_Date,Start_Date,Award_Value,Industry,Award_Description
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),VA,BLACKSBURG,7/20/2021,9/28/2020 0:00,111523,TESTING LABORATORIES,"THIS IS FOR LUNAR SUIT IMPACT ANALYSIS OF ACTIVE RESPONSE GRAVITY OFFLOAD SYSTEM (ARGOS), TESTING SUPPORT, SAFE FALLS OF HUMAN TEST SUBJECTS IN THE NASA/ARGOS FACILITY PER THE ATTACHED QUOTE 08192020."
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,6/17/2021,6/17/2021 0:00,4554.8,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4553894299!TRBO REGION 3
COMPUTER MISSION,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,VIENNA,10/26/2020,10/26/2020 0:00,228.25,COMPUTER FACILITIES MANAGEMENT SERVICES,PART NUMBER: ONP1 MFR: TARGUS ITEM: NOTEBOOK CASE
CW GOVERNMENT TRAVEL INCORPORATED,DEPARTMENT OF HOMELAND SECURITY (DHS),DEPARTMENT OF HOMELAND SECURITY (DHS),DC,WASHINGTON,9/24/2021,9/25/2019 0:00,7025202.5,TRAVEL AGENCIES,EXERCISE OPTION PERIOD 2 FOR TRAVEL MANAGEMENT SERVICES
"ATLANTIC DIVING SUPPLY, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,VIRGINIA BEACH,11/25/2020,11/25/2020 0:00,238.4,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,8507827024!FLASHLIGHT
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,11/10/2020,11/10/2020 0:00,144.45,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"BROOM,PUSH, MEDIUM SURFACE, HANDLE BLACK METAL, DETACHABLE, 60"" L, BLOCK24"" X 7/8"" THICK HARDWOOD. POLYPROPYLENE FIBERS WITH 3.5"" LENGTH. FLEXIBLE ELASTOMER CONNECTOR.U/I EA"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,8/16/2021,8/16/2021 0:00,32.84,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554439336! DIETARY SUPPLEMENT24S
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,11/3/2020,11/3/2020 0:00,53.22,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,STAMP - CUSTOM
"AGILITI HEALTH, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,FORT GEORGE G MEADE,10/28/2020,10/1/2020 0:00,492666,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,SUBCONTRACTOR TIME&MATERIALS
"TIC SECURITY, LLC",DEPARTMENT OF THE TREASURY (TREAS),DEPARTMENT OF THE TREASURY (TREAS),DC,WASHINGTON,9/30/2021,9/30/2021 0:00,13424428.57,CUSTOM COMPUTER PROGRAMMING SERVICES,"DIGITAL VIDEO RECORDING SYSTEM: DESIGN, INSTALLATION AND OPERATIONS & MAINTENANCE"
"AVIAN, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,PATUXENT RIVER,11/9/2020,10/2/2020 0:00,11255.61,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,UPDATED THE SOW
ATLANTIC DIVING SUPPLY INCORPORATED,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,VIRGINIA BEACH,12/11/2020,12/11/2020 0:00,259.35,ALL OTHER MISCELLANEOUS MANUFACTURING,"GLOVES,MEN' S AND WOMEN' S SIZE LARGE. U/I PG (5 PAIR PER PG), MECHANIX WEAR GVMP-PKF55-010, CAMELBAK IMPACT CT GLOVES MPCT05-10, OR EQUAL."
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,11/19/2020,11/19/2020 0:00,175.27,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551779234!TRBO REGION 3
"CALIBRE SYSTEMS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),DC,WASHINGTON,2/9/2021,12/4/2014 1:12,14568886.74,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,THIS MODIFICATION INCORPORATES CLAUSE 52.204-25 AS PER SECTION 889.
"PRODUCE SOURCE PARTNERS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHLAND,2/18/2021,2/18/2021 0:00,225.26,PERISHABLE PREPARED FOOD MANUFACTURING,"4552556106!APPLES, CHL,"
