contract_transaction_unique_key,contract_award_unique_key,award_id_piid,modification_number,transaction_number,parent_award_agency_id,parent_award_agency_name,parent_award_id_piid,parent_award_modification_number,federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,current_total_value_of_award
9700_9700_SPE60721FAW15_0_SPE60719D0036_0,CONT_AWD_SPE60721FAW15_9700_SPE60719D0036_9700,SPE60721FAW15,0,0,9700,DEPT OF DEFENSE,SPE60719D0036,0,3186.02,3186.02,3186.02,3186.02
9700_9700_SPE30021F5BVY_0_SPE30020DP353_0,CONT_AWD_SPE30021F5BVY_9700_SPE30020DP353_9700,SPE30021F5BVY,0,0,9700,DEPT OF DEFENSE,SPE30020DP353,0,1127.16,1127.16,1127.16,1127.16
9700_9700_SPE3SU21F36XZ_0_SPE30020DS353_0,CONT_AWD_SPE3SU21F36XZ_9700_SPE30020DS353_9700,SPE3SU21F36XZ,0,0,9700,DEPT OF DEFENSE,SPE30020DS353,0,369.48,369.48,369.48,369.48
9700_9700_W9124J20F0022_P00011_W9124J20D0006_0,CONT_AWD_W9124J20F0022_9700_W9124J20D0006_9700,W9124J20F0022,P00011,0,9700,DEPT OF DEFENSE,W9124J20D0006,0,-217221.5,1406860.5,-217221.5,1501860.5
4732_4730_47QSWA21F25SK_0_GS07FP0084_0,CONT_AWD_47QSWA21F25SK_4732_GS07FP0084_4730,47QSWA21F25SK,0,0,4730,FEDERAL ACQUISITION SERVICE,GS07FP0084,PW0041,288.9,288.9,288.9,288.9
4732_4732_47QSEA21F8CEE_0_47QSEA20A000B_0,CONT_AWD_47QSEA21F8CEE_4732_47QSEA20A000B_4732,47QSEA21F8CEE,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSEA20A000B,PA0001,34.38,34.38,34.38,34.38
9700_9700_SPE2DV21FH4MK_0_SPE2DV17D3003_0,CONT_AWD_SPE2DV21FH4MK_9700_SPE2DV17D3003_9700,SPE2DV21FH4MK,0,0,9700,DEPT OF DEFENSE,SPE2DV17D3003,0,176.2,176.2,176.2,176.2
4732_4732_47QSWA21F2NYT_0_GS07Q1647AJN2E_0,CONT_AWD_47QSWA21F2NYT_4732_GS07Q1647AJN2E_4732,47QSWA21F2NYT,0,0,4732,FEDERAL ACQUISITION SERVICE,GS07Q1647AJN2E,PM0015,127.4,127.4,127.4,127.4
7527_-NONE-_75H71121A00029_0_-NONE-_-NONE-,CONT_IDV_75H71121A00029_7527,75H71121A00029,0,,,,,,0,0,,
9700_-NONE-_W912GB21D0028_0_-NONE-_-NONE-,CONT_IDV_W912GB21D0028_9700,W912GB21D0028,0,,,,,,0,0,,
9700_9700_SPE3SU21FFS3R_0_SPE30020DS355_0,CONT_AWD_SPE3SU21FFS3R_9700_SPE30020DS355_9700,SPE3SU21FFS3R,0,0,9700,DEPT OF DEFENSE,SPE30020DS355,0,325.93,325.93,325.93,325.93
4732_-NONE-_47QSHA21P0RS7_0_-NONE-_0,CONT_AWD_47QSHA21P0RS7_4732_-NONE-_-NONE-,47QSHA21P0RS7,0,0,,,,,42.98,42.98,42.98,42.98
9700_9700_SPE30021F1MPB_0_SPE30019D3205_0,CONT_AWD_SPE30021F1MPB_9700_SPE30019D3205_9700,SPE30021F1MPB,0,0,9700,DEPT OF DEFENSE,SPE30019D3205,0,5899.58,5899.58,5899.58,5899.58
4732_4732_47QSEA21F1K23_0_47QSEA20A000C_0,CONT_AWD_47QSEA21F1K23_4732_47QSEA20A000C_4732,47QSEA21F1K23,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSEA20A000C,PO0004,39.46,39.46,39.46,39.46
4732_4730_47QSWA21F2W0U_0_GS07FW0013_0,CONT_AWD_47QSWA21F2W0U_4732_GS07FW0013_4730,47QSWA21F2W0U,0,0,4730,FEDERAL ACQUISITION SERVICE,GS07FW0013,PS0011DUNCCHG,113.7,113.7,113.7,113.7
9700_-NONE-_W912EP16C0019_A00029_-NONE-_0,CONT_AWD_W912EP16C0019_9700_-NONE-_-NONE-,W912EP16C0019,A00029,0,,,,,0,28155900.86,12527.95,28168428.81
9700_9700_SPE30021F3ZW8_0_SPE30019DPA07_0,CONT_AWD_SPE30021F3ZW8_9700_SPE30019DPA07_9700,SPE30021F3ZW8,0,0,9700,DEPT OF DEFENSE,SPE30019DPA07,0,810.91,810.91,810.91,810.91
12H2_-NONE-_12405B21P0096_0_-NONE-_0,CONT_AWD_12405B21P0096_12H2_-NONE-_-NONE-,12405B21P0096,0,0,,,,,13805.14,13805.14,13805.14,13805.14
9700_-NONE-_SPE60318C5004_P00004_-NONE-_0,CONT_AWD_SPE60318C5004_9700_-NONE-_-NONE-,SPE60318C5004,P00004,0,,,,,0,819072,0,819072
4732_4732_47QSMA21F0LWB_0_47QSMA19A08N8_0,CONT_AWD_47QSMA21F0LWB_4732_47QSMA19A08N8_4732,47QSMA21F0LWB,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSMA19A08N8,PS0003,230.74,230.74,230.74,230.74
9700_9700_SPE7LX21F491E_0_SPE7M117D0001_0,CONT_AWD_SPE7LX21F491E_9700_SPE7M117D0001_9700,SPE7LX21F491E,0,0,9700,DEPT OF DEFENSE,SPE7M117D0001,0,26.9,26.9,26.9,26.9
9700_-NONE-_N0038318PF136_P00003_-NONE-_0,CONT_AWD_N0038318PF136_9700_-NONE-_-NONE-,N0038318PF136,P00003,0,,,,,-54904.92,35095.08,-54904.92,35095.08
